"segment.id","worth","logworth","meanscore","scaleworth"
"Green Day-21 Guns-166069",0.0924375600196325,-2.38122188921172,2.2,-0.416074677211678
"Green Day-21 Guns-262571",0.177890859033458,-1.72658506824173,2,0.418788237542758
"Green Day-21 Guns-286905",0.102085974905544,-2.28193992950037,1.86666666666667,-0.289459699850125
"Green Day-21 Guns-40031",0.0644562172023655,-2.74176908873562,2.44444444444444,-0.875883041573254
"Green Day-21 Guns-min",0.221409374050565,-1.50774191971879,1.8,0.69788043492204
"Green Day-21 Guns-random",0.341720014788434,-1.07376354742225,1.68181818181818,1.25133608732336
"Fleetwood Mac-Albatross-0",0.133981855790039,-2.0100508927512,1.9375,0.0572822896607149
"Fleetwood Mac-Albatross-139412",0.0933606913118235,-2.37128488623451,2.3125,-0.403401947839104
"Fleetwood Mac-Albatross-58235",0.224055167244797,-1.49586297510677,1.77777777777778,0.713029736038802
"Fleetwood Mac-Albatross-87539",0.227861485341035,-1.47901735507707,1.76923076923077,0.734513073040846
"Fleetwood Mac-Albatross-min",0.179655350117722,-1.71671498508274,2.05882352941176,0.431375623603287
"Fleetwood Mac-Albatross-random",0.141085450194585,-1.95838954241701,2.125,0.123166370938397
"Heart-Alone-0",0.0333097075771678,-3.40190640564523,2.57142857142857,-1.71776077725686
"Heart-Alone-14582",0.112902674248176,-2.18122912123215,1.93333333333333,-0.161022501934042
"Heart-Alone-152833",0.165978672791614,-1.79589597603844,1.66666666666667,0.330395552234138
"Heart-Alone-78251",0.0475368938533158,-3.04624915672536,2.35294117647059,-1.26418860108928
"Heart-Alone-min",0.597219614033259,-0.515470370532154,1.25,1.96333127918463
"Heart-Alone-random",0.0430524374964669,-3.14533642958427,2.25,-1.39055529294673
"John Denver-Annie's song-185",0.0302289899583488,-3.49895388264612,2.64285714285714,-1.8415261031951
"John Denver-Annie's song-41470",0.185435740000285,-1.68504687204302,1.8,0.471762189574227
"John Denver-Annie's song-72306",0.198296550760567,-1.61799163765423,1.66666666666667,0.557278198814923
"John Denver-Annie's song-8591",0.180057626099828,-1.71447833432836,1.86666666666667,0.434228039948158
"John Denver-Annie's song-min",0.366929058756141,-1.00258675000448,1.6,1.34210835471131
"John Denver-Annie's song-random",0.039052034424831,-3.24286030610648,2.53846153846154,-1.51492817452531
"Meat Loaf-Bat out of hell-0",0.125881704190194,-2.07241266866504,2.21428571428571,-0.0222481191719968
"Meat Loaf-Bat out of hell-203639",0.0599738204344797,-2.81384713806997,2.5,-0.967804681831625
"Meat Loaf-Bat out of hell-385404",0.14808972314067,-1.90993695146874,1.94736842105263,0.184958298936796
"Meat Loaf-Bat out of hell-548037",0.121664192691034,-2.10649054832079,2,-0.0657078773565351
"Meat Loaf-Bat out of hell-min",0.159819254290471,-1.83371176298044,1.86666666666667,0.282168814753426
"Meat Loaf-Bat out of hell-random",0.384571305253151,-0.955626057937054,1.47058823529412,1.40199765363618
"Simple Minds-Belfast child-0",0.0859095593756702,-2.4544601712515,2.34782608695652,-0.509475970351195
"Simple Minds-Belfast child-107787",0.218116007166284,-1.5227282147663,1.81818181818182,0.67876830806948
"Simple Minds-Belfast child-311751",0.286528676019495,-1.24991665701761,1.63157894736842,1.02668679506092
"Simple Minds-Belfast child-84752",0.10380039272074,-2.2652855248207,2.21428571428571,-0.268220221120893
"Simple Minds-Belfast child-min",0.208860575672625,-1.56608835167376,1.94117647058824,0.623470822313825
"Simple Minds-Belfast child-random",0.0967847890451862,-2.33526543501002,2.0625,-0.357466089858219
"Foo Fighters-Best of you-0",0.0760176720951729,-2.57678943815809,2,-0.66548333971682
"Foo Fighters-Best of you-179815",0.0622034470683838,-2.77734486166674,2.33333333333333,-0.921253073524563
"Foo Fighters-Best of you-208468",0.463143139027974,-0.76971911710666,1.45454545454545,1.63908607506773
"Foo Fighters-Best of you-47229",0.133823050573225,-2.01123686979385,2.0952380952381,0.0557698048463269
"Foo Fighters-Best of you-min",0.13414063509706,-2.00886651373804,2,0.0587927364969287
"Foo Fighters-Best of you-random",0.130672056138184,-2.03506448275488,1.95454545454545,0.0253822834435183
"Bob Dylan-Blowin' in the wind-138251",0.195072225284429,-1.63438540292038,1.8,0.536371115352031
"Bob Dylan-Blowin' in the wind-14675",0.0706482504740866,-2.65004193344078,2.4375,-0.7589027591044
"Bob Dylan-Blowin' in the wind-35712",0.346875310483358,-1.05878989939468,1.6875,1.27043208534297
"Bob Dylan-Blowin' in the wind-789",0.159614147541136,-1.8349959541536,1.93333333333333,0.280531076771718
"Bob Dylan-Blowin' in the wind-min",0.0648318174105909,-2.73595878670689,2.25,-0.868473122772595
"Bob Dylan-Blowin' in the wind-random",0.162958248806399,-1.81426125327745,1.9375,0.306974185768207
"Steppenwolf-Born to be wild-108669",0.00878113172506725,-4.73514998157031,2.83333333333333,-3.41805563116559
"Steppenwolf-Born to be wild-122090",0.0931074647262374,-2.3740009182545,2.27777777777778,-0.406865722463652
"Steppenwolf-Born to be wild-64319",0.173015134416214,-1.75437620613605,1.82352941176471,0.383346005081075
"Steppenwolf-Born to be wild-78762",0.270173596388633,-1.30869057699977,1.75,0.951732003982812
"Steppenwolf-Born to be wild-min",0.152106527049274,-1.88317416775614,2,0.219089064120674
"Steppenwolf-Born to be wild-random",0.302816145694574,-1.19462943752408,1.57894736842105,1.09719497262822
"Arctic Monkeys-Do I wanna know-0",0.10717691157845,-2.23327443060911,2.11764705882353,-0.227396248863463
"Arctic Monkeys-Do I wanna know-159892",0.196580918471387,-1.62668113360212,1.86666666666667,0.54619642387893
"Arctic Monkeys-Do I wanna know-207168",0.318973183520341,-1.14264824393044,1.60869565217391,1.16348695225089
"Arctic Monkeys-Do I wanna know-248825",0.0493929947041352,-3.00794667245251,2.4,-1.21534117509972
"Arctic Monkeys-Do I wanna know-min",0.241074411801684,-1.42264963048627,1.73333333333333,0.806399226313157
"Arctic Monkeys-Do I wanna know-random",0.0868015799240032,-2.44413045559205,2.35,-0.496302411749252
"George Michael-Don't let the sun go down on me-220125",0.0898283151703091,-2.40985503967435,2.07142857142857,-0.452590734188759
"George Michael-Don't let the sun go down on me-283237",0.159404122077086,-1.83631265300376,1.75,0.27885188152225
"George Michael-Don't let the sun go down on me-320388",0.0191676455138383,-3.95453155086377,2.5625,-2.42252748869868
"George Michael-Don't let the sun go down on me-79272",0.0394210880864131,-3.23345437524345,2,-1.502932725133
"George Michael-Don't let the sun go down on me-min",0.0388616702379963,-3.24774685505078,2.375,-1.52116002455887
"George Michael-Don't let the sun go down on me-random",0.653317158914357,-0.425692572495877,1.23529411764706,2.07782553271248
"Rammstein-Du hast-16114",0.132023941151289,-2.02477200048349,2,0.03850835804534
"Rammstein-Du hast-31672",0.173616906039395,-1.75090409647794,1.94117647058824,0.387774010803734
"Rammstein-Du hast-371",0.0682895178715825,-2.68399899604896,2.36842105263158,-0.802208438463462
"Rammstein-Du hast-45511",0.341986028082242,-1.07298539631476,1.57894736842105,1.25232846887129
"Rammstein-Du hast-min",0.220775928161242,-1.51060699153129,1.83333333333333,0.694226588808071
"Rammstein-Du hast-random",0.0633076786942488,-2.75974865080279,2.27777777777778,-0.898812502783772
"Coolio-Gangsta's paradise-100821",0.0874979888400298,-2.43613947056809,2.05263157894737,-0.48611145267828
"Coolio-Gangsta's paradise-122601",0.282444161183992,-1.26427440745855,1.5,1.00837625553967
"Coolio-Gangsta's paradise-214134",0.0780315912218802,-2.55064151862412,2.15,-0.632136715118854
"Coolio-Gangsta's paradise-73839",0.041327086386824,-3.18623714927002,2.36842105263158,-1.44271626672423
"Coolio-Gangsta's paradise-min",0.458174490240758,-0.780505184365146,1.31578947368421,1.62533052808091
